text,model
"Search for Heavy Resonances Decaying to a W or Z Boson and a Higgs Boson in the qq̅^(')bb̅ Final State in pp Collisions at √(s) = 13 TeV with the ATLAS Detector. A search for heavy resonances decaying to a W or Z boson and a Higgs boson in the qq̅^(')bb̅ final state is described. The search uses 36.1 fb^-1 of proton-proton collision data at √(s) = 13 collected by the ATLAS detector at the CERN Large Hadron Collider in 2015 and 2016. The data are in agreement with the Standard Model expectations, with the largest excess found at a resonance mass of 3.0 TeV with a local (global) significance of 3.3 (2.2) σ. The results are presented in terms of constraints on a simplified model with a Heavy Vector Triplet. Upper limits are set on the production cross-section times branching ratio for resonances decaying to a W (Z) boson and a Higgs boson in the mass range between 1.1 and 3.8 . The limits range between 83 and 1.6 fb (77 and 1.1 fb) at 95% confidence level.
",BSM
"Measurement of gluon fusion and vector boson fusion Higgs boson production cross-sections in the H → WW^*→ eνμν decay channel in pp collisions at √(s) = 13 TeV with the ATLAS detector. The Higgs boson production cross-sections in proton-proton collisions are measured in the H→ WW^∗→ eνμν decay channel. The proton-proton collision data were produced at the Large Hadron Collider at a centre-of-mass energy of 13 TeV and recorded by the ATLAS detector in 2015 and 2016, corresponding to an integrated luminosity of 36.1 fb^-1. The gluon fusion and vector boson fusion cross-sections time the H→ WW^∗ branching ratio are measured to be 12.6 ^+1.3_-1.2 (stat.) ^+1.9_-1.8(sys.) pb and 0.50 ^+0.24_-0.23 (stat.) ± 0.18(sys.) pb, respectively, in agreement with the Standard Model predictions.
",SM
"Measurement of inclusive and differential Higgs boson production cross sections in the diphoton decay channel in proton-proton collisions at √(s)= 13 TeV. Measurements of the inclusive and differential production cross sections for the Higgs boson in the diphoton decay channel are performed using the data set of proton-proton collisions at √(s)=13 TeV collected by the CMS experiment at the LHC in 2016 and corresponding to an integrated luminosity of 35.9 fb^â1. The cross sections are measured in a fiducial phase space defined by a set of requirements on the isolation and kinematic variables of the photons. Differential cross sections are measured as functions of the kinematic properties of the diphoton system and the event. A subset of the measurements is performed in regions of the fiducial phase space, where relative contributions of specific Higgs boson production mechanisms are enhanced. The total cross section in the chosen fiducial phase space is measured to be 84 Â± 11 (stat) Â± 7 (syst) fb = 84 Â± 13 fb, to be compared with a theoretical prediction of 73 Â± 4 fb. All measurements are found to be in agreement with the theoretical predictions for the standard model Higgs boson with a mass of 125.09 GeV within the experimental and theoretical uncertainties.
",SM
"Limits on the production of the Standard Model Higgs Boson in pp collisions at √(s) =7 TeV with the ATLAS detector. A search for the Standard Model Higgs boson at the Large Hadron Collider (LHC) running at a centre-of-mass energy of 7 TeV is reported, based on a total integrated luminosity of up to 40 pb-1 collected by the ATLAS detector in 2010. Several Higgs boson decay channels: H →γγ, H → ZZ^(*)→ llll, H → ZZ → llνν, H → ZZ → llqq, H → WW^(*)→ lνlν and H → WW → lνqq (l is e, μ) are combined in a mass range from 110 GeV to 600 GeV. The highest sensitivity is achieved in the mass range between 160 GeV and 170 GeV, where the expected 95% CL exclusion sensitivity is at Higgs boson production cross sections 2.3 times the Standard Model prediction. Upper limits on the cross section for its production are determined. Models with a fourth generation of heavy leptons and quarks with Standard Model-like couplings to the Higgs boson are also investigated and are excluded for a Higgs boson mass in the range from 140 GeV to 185 GeV.
",SM
"Search for the Standard-Model Higgs boson decaying to tau pairs in proton-proton collisions at sqrt(s) = 7 and 8 TeV. A search for the standard-model Higgs boson decaying to τ pairs is performed using events recorded by the CMS experiment at the LHC in 2011 and 2012 at a centre-of-mass energy of 7 and 8 TeV respectively. The dataset corresponds to an integrated luminosity of 4.9 fb^-1 at a centre-of-mass energy of 7 TeV and 19.4 fb^-1 at 8 TeV. The τ-pair invariant mass spectrum is studied in five different final states corresponding to the decay modes of the two τ leptons. An excess of events is observed over a broad range of Higgs mass hypotheses, with a maximum local significance of 2.93 standard deviations at m_ H= 120 GeV. The excess is compatible with the presence of a standard-model Higgs boson of mass 125 GeV.
",SM
"Search for heavy resonances decaying to a W or Z boson and a Higgs boson in final states with leptons and b-jets in 36.1 fb^-1 of pp collision data at √(s) = 13 with the ATLAS detector. A search is presented for new resonances decaying to a W or Z boson and a 125 Higgs boson (h) in the νν̅bb̅, ℓ^±νbb̅, and ℓ^+ℓ^-bb̅ final states, where ℓ ^±= e^± or μ^±, in pp collisions at √(s) = 13 . The data used corresponds to a total of 36.1 fb^-1 of integrated luminosity collected with the ATLAS detector at the Large Hadron Collider from the 2015 and 2016 data taking periods. The search is conducted by examining the reconstructed invariant or transverse mass distributions of Wh and Zh candidates for evidence of a localised excess. The results are interpreted in terms of constraints on the production cross-section times branching fraction of heavy W^' and Z^' resonances in Heavy Vector Triplet models or the CP odd scalar boson A in Two-Higgs-Doublet models over the mass range from 220 GeV up to 5 TeV. No significant excess is observed. Limits are placed at 95
",BSM
"Search for the standard model Higgs boson decaying to tau pairs produced in association with a W or Z boson. A search for the standard model Higgs boson produced in association with a W or Z boson is presented using data collected in 2011 and 2012 with the CMS detector at the LHC. The topologies studied here have three- or four-leptons final states. The Higgs boson decay channel analysed is the ditau channel where the tau can decay via an electron, a muon or hadronically. The W and Z boson decays used to enhance the signal events are into electron or muon and the dielectrons or dimuons, respectivelly. The analysis uses pp collision data samples corresponding to integrated luminosities of 5.0 fb^-1 collected at and 19.5 fb^-1 of 8 TeV. Upper limits at 95
",SM
"Combined Measurement of the Higgs Boson Mass in pp Collisions at √(s) = 7 and 8 TeV with the ATLAS and CMS Experiments. A measurement of the Higgs boson mass is presented based on the combined data samples of the ATLAS and CMS experiments at the CERN LHC in the H →γγ and H → ZZ→ 4ℓ decay channels. The results are obtained from a simultaneous fit to the reconstructed invariant mass peaks in the two channels and for the two experiments. The measured masses from the individual channels and the two experiments are found to be consistent among themselves. The combined measured mass of the Higgs boson is m_H = 125.09±0.21 (stat.)±0.11 (syst.) GeV.
",SM
"Search for Charged Higgs Bosos in e^+e^- Collisions at √(s) = 189-209 GeV. A search is made for charged Higgs bosons predicted by Two-Higgs-Doublet extensions of the Standard Model (2HDM) using electron-positron collision data collected by the OPAL experiment at sqrts=189-209 GeV, corresponding to an integrated luminosity of approximately 600pb-1. Charged Higgs bosons are assumed to be pair-produced and to decay into qq, tnt or AWpm. No signal is observed. Model-independent limits on the charged Higgs-boson production cross section are derived by combining these results with previous searches at lower energies. Excluded areas on the [mHpm, BR(Hpm->TV)] plane are presented assuming BR(Hpm->tnt)+BR(Hpm->qq)=1. Under the above assumption, motivated by general 2HDM type II models, charged Higgs bosons are excluded up to a mass of 76.6GeV at 95% confidence level, independent of the branching ratio BR(Hpm->tnt). A scan of the 2HDM type I model parameter space is performed and limits on the Higgs-boson masses mHpm and mA are presented for different choices of tanb.
",BSM
"Search for invisible Higgs boson decays in e^+e^- collisions at centre-of-mass energies up to 184 GeV. In a data sample of 78.3 pb^-1 collected in 1996 and 1997 by the ALEPH detector at centre-of-mass energies from 161 to 184 GeV, invisible decays of a Higgs boson have been searched for in the reaction e+e- –> hZ, where the Z can decay into e+e-, mu+mu- or qqbar. No evidence for a signal is found and limits on the production cross section are derived as a function of the Higgs boson mass. These results are combined with those obtained in an update of the analyses of the ALEPH data taken at LEP 1. For a production cross section equal to that of the minimal standard model Higgs boson, masses below 80 GeV/c^2 are excluded at 95% C.L.
",BSM
"Evidence for the decay of the Higgs Boson to Bottom Quarks. A search for the standard model (SM) Higgs boson (H) decaying to bb when produced in association with a weak vector boson (V) is reported for the following processes: Z(νν)H, W(μν)H, W(eν)H, Z(μμ)H, and Z(ee)H. The search is performed in data samples corresponding to an integrated luminosity of 35.9 fb^-1 at √(s)=13 TeV recorded by the CMS experiment at the LHC during Run 2 in 2016. An excess of events is observed in data compared to the expectation in the absence of a H→bb signal. The significance of this excess is 3.3 standard deviations, where the expectation from SM Higgs boson production is 2.8. The signal strength corresponding to this excess, relative to that of the SM Higgs boson production is 1.2 ± 0.4. This result is combined with the one from the search for the same processes performed by the CMS experiment in Run 1 of the LHC (using proton-proton collisions at √(s)=7 and √(s)=8 TeV with data samples corresponding to luminosities of up to 5.1 fb^-1 and 18.9 fb^-1, respectively). The observed combined signal significance is 3.8 standard deviations, where 3.8 are expected from a SM signal. The corresponding signal strength, relative to that of the SM Higgs boson, is 1.06^+0.31_-0.29.
",SM
"Search for Higgs boson pair production in the γγ WW^* channel using pp collision data recorded at √(s) = 13 TeV with the ATLAS detector. Searches for non-resonant and resonant Higgs boson pair production are performed in the γγ WW^* channel with the final state of γγℓν jj using 36.1Â fb^-1 of protonâproton collision data recorded at a centre-of-mass energy of √(s)= 13 TeV by the ATLAS detector at the Large Hadron Collider. No significant deviation from the Standard Model prediction is observed. A 95% confidence-level observed upper limit of 7.7 pb is set on the cross section for non-resonant production, while the expected limit is 5.4 pb. A search for a narrow-width resonance X decaying to a pair of Standard Model Higgs bosons HH is performed with the same set of data, and the observed upper limits on σ (pp→ X)× B(X→ HH) range between 40.0 and 6.1 pb for masses of the resonance between 260 and 500Â GeV, while the expected limits range between 17.6 and 4.4 pb. When deriving the limits above, the Standard Model branching ratios of the H→γγ and H→WW^* are assumed.
",BSM
"Search for a standard model Higgs boson produced in association with a top-quark pair and decaying to bottom quarks using a matrix element method. A search for a standard model Higgs boson produced in association with a top-quark pair and decaying to bottom quarks is presented. Events with hadronic jets and one or two oppositely charged leptons are selected from a data sample corresponding to an integrated luminosity of 19.5 fb^-1 collected by the CMS experiment at the LHC in pp collisions at a centre-of-mass energy of 8 TeV. In order to separate the signal from the larger t t̅+jets background, this analysis uses a matrix element method that assigns a probability density value to each reconstructed event under signal or background hypotheses. The ratio between the two values is used in a maximum likelihood fit to extract the signal yield. The results are presented in terms of the measured signal strength modifier, μ, relative to the standard model prediction for a Higgs boson mass of 125 GeV. The observed (expected) exclusion limit at a 95% confidence level is μ lower than 4.2 (3.3), corresponding to a best fit value μ̂=1.2^+1.6_-1.5.
",SM
"Search for the standard model Higgs boson.
",SM
"Higgs boson searches in CP-conserving and CP-violating MSSM scenarios with the DELPHI detector. This paper presents the final interpretation of the results from DELPHI on the searches for Higgs bosons in the Minimal Supersymmetric extension of the Standard Model (MSSM). A few representative scenarios are considered, that include CP conservation and explicit CP violation in the Higgs sector. The experimental results encompass the searches for neutral Higgs bosons at LEP1 and LEP2 in final states as expected in the MSSM, as well as LEP2 searches for charged Higgs bosons and for neutral Higgs bosons decaying into hadrons independent of the quark flavour. The data reveal no significant excess with respect to background expectations. The results are translated into excluded regions of the parameter space in the various scenarios. In the CP-conserving case, these lead to limits on the masses of the lightest scalar and pseudoscalar Higgs bosons, h and A, and on tan(beta). The dependence of these limits on the top quark mass is discussed. Allowing for CP violation reduces the experimental sensitivity to Higgs bosons. It is shown that this effect depends strongly on the values of the parameters responsible for CP violation in the Higgs sector.
",BSM
"Search for Higgs bosons produced via vector-boson fusion and decaying into bottom quark pairs in √(s) = 13 TeV pp collisions with the ATLAS detector. A search for the bbÂ¯ decay of the Standard Model Higgs boson produced through vector-boson fusion is presented. Three mutually exclusive channels are considered: two all-hadronic channels and a photon-associated channel. Results are reported from the analysis of up to 30.6ââfb-1 of pp data at s=13ââTeV collected with the ATLAS detector at the LHC. The measured signal strength relative to the Standard Model prediction from the combined analysis is 2.5-1.3+1.4 for inclusive Higgs boson production and 3.0-1.6+1.7 for vector-boson fusion production only.
",SM
"Search for the Higgs boson in the H → WW^(*)→ l^+ν l^-ν̅ decay channel in pp collisions at √(s) = 7 TeV with the ATLAS detector. A search for the Higgs boson has been performed in the H → WW^(*)→ l^+ν l^-ν̅ channel (l=e/μ) with an integrated luminosity of 2.05/fb of pp collisions at sqrts = 7 TeV collected with the ATLAS detector at the Large Hadron Collider. No significant excess of events over the expected background is observed and limits on the Higgs boson production cross section are derived for a Higgs boson mass in the range 110<mH<300 GeV. The observations exclude the presence of a Standard Model Higgs boson with a mass 145<mH<206 GeV at 95% confidence level.
",SM
"Interpretations of the combined measurement of Higgs boson production and decay. First combined measurements of the Higgs boson production and decay using up to 139 fb^â1 of protonâproton collision data at âs = 13 TeV recorded by the ATLAS experiment have recently been performed. This note presents two interpretations of these combined Higgs boson measurements. Measurements targeting Simplified Template Cross Sections in different decay channels are reparameterized in terms of the impact of Standard Model Effective Field Theory (SMEFT) operators and constraints are reported on the corresponding Wilson coefficients. Measurements are furthermore interpreted in several MSSM benchmark scenarios, resulting in constraints on the MSSM parameters (m_A, tan Î²) that are complementary to those obtained from direct searches for additional Higgs bosons. For all interpretations, no significant deviations from the Standard Model are observed.
",BSM
"Search for lepton flavour violating decays of a neutral heavy Higgs boson to μτ and eτ in proton-proton collisions at √(s)= 13 TeV. A search for lepton flavour violating decays of a neutral non-standard-model Higgs boson in the μτ and eτ decay modes is presented. The search is based on proton-proton collisions at a center of mass energy √(s)= 13 TeV collected with the CMS detector in 2016, corresponding to an integrated luminosity of 35.9 fb^-1 . The τ leptons are reconstructed in the leptonic and hadronic decay modes. No signal is observed in the mass range 200-900 GeV. At 95% confidence level, the observed (expected) upper limits on the production cross section multiplied by the branching fraction vary from 51.9 (57.4) fb to 1.6 (2.1) fb for the μτ and from 94.1 (91.6) fb to 2.3 (2.3) fb for the eτ decay modes.
",BSM
"Studies of Higgs boson production in the four-lepton final state at √(s)=13 TeV. Studies of Higgs boson production are presented using the H→ZZ→4ℓ (ℓ=e,μ) decay channel. These studies are performed using a data sample corresponding to an integrated luminosity of 2.8 fb^-1 of pp collisions at a center-of-mass energy of 13 TeV collected by the CMS experiment at the LHC during 2015. The observed significance for the standard model Higgs boson with m_H=125.09 GeV is 2.5σ, where the expected significance is 3.4σ. The model independent fiducial cross section is measured to be σ_fid.=2.48^+1.48_-1.14(stat. ⊕ sys.)^+0.01_-0.04(model dep.) fb. In addition, a search for an additional Higgs boson is performed for a range of masses up to 1 TeV and with various widths, and no significant excess is observed. The results of this search are interpreted in the context of the two Higgs doublet model.
",BSM
"A search for resonant and non-resonant Higgs boson pair production in the bb̅τ^+τ^- decay channel in pp collisions at √(s) = 13 TeV with the ATLAS detector. A search for resonant and non-resonant pair production of Higgs bosons in the bb̅τ^+τ^- final state is presented. The search uses 36.1 fb^-1 of pp collision data with √(s)= 13 TeV recorded by the ATLAS experiment at the LHC in 2015 and 2016. The semileptonic and fully hadronic decays of the τ-lepton pair are considered. No significant excess above the expected background is observed in the data. The cross-section times branching ratio for non-resonant Higgs boson pair production is constrained to be less than 30.9 fb, 12.7 times the Standard Model expectation, at 95% confidence level. The data are also analyzed to probe resonant Higgs boson pair production, constraining a model with an extended Higgs sector based on two doublets and a Randall-Sundrum bulk graviton model. Upper limits are placed on the resonant Higgs boson pair production cross-section times branching ratio, excluding resonances X in the mass range 305 GeV < m_X < 402 GeV in the simplified hMSSM minimal supersymmetric model for tanβ=2 and excluding bulk Randall-Sundrum gravitons G_KK in the mass range 325 GeV < m_G_KK < 885 GeV for k/M_Pl = 1.
",BSM
"Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state of two muons and two τ leptons in proton-proton collisions at √(s) = 13 TeV. A search for exotic Higgs boson decays to light pseudoscalars in the final state of two muons and two Ï leptons is performed using proton-proton collision data recorded by the CMS experiment at the LHC at a center-of-mass energy of 13 TeV in 2016, corresponding to an integrated luminosity of 35.9 fb^â1. Masses of the pseudoscalar boson between 15.0 and 62.5 GeV are probed, and no significant excess of data is observed above the prediction of the standard model. Upper limits are set on the branching fraction of the Higgs boson to two light pseudoscalar bosons in different types of two-Higgs-doublet models extended with a complex scalar singlet.
",BSM
"Search for a heavy Higgs boson in the H to ZZ to 2l2nu channel in pp collisions at sqrt(s)= 7 and 8 TeV. A search for a heavy Higgs boson in the H→ ZZ→ 2ℓ 2ν decay channel, where ℓ = e or μ, in pp collisions at a center-of-mass energy of both 7 and 8 TeV is presented. The data were collected at the LHC, with the CMS detector, and correspond to an integrated luminosity of 5.0 fb^-1 at 7 TeV and 19.6 fb^-1 at 8 TeV. The search is optimised separately for the vector boson fusion and the gluon fusion production processes. No significant excess is observed above the background expectation. The presence of a standard model-like Higgs boson with a mass in the 248–930 GeV range is excluded at 95 extension of the Standard Model is presented as well.
",BSM
"Search for a Standard Model Higgs in the H->ZZ->llvv decay channel with 2.05 fb^-1 of ATLAS data. A search for a heavy Standard Model Higgs boson decaying via htollvv, where ℓ=e,μ, is presented. It is based on proton-proton collision data at √(s)=7, collected by the ATLAS experiment at the LHC in 2011, that correspond to an integrated luminosity of 2.05 fb^-1. The data are found to be consistent with the background expected from other Standard Model processes and upper limits are placed on the Higgs boson production cross section over the entire mass range considered; in particular the production of a Standard Model Higgs boson is excluded in the region 310 GeV < m_mathrmH < 470 GeVat the 95% confidence level.
",SM
"Search for an invisibly-decaying Higgs boson at LEP. A search for a Higgs boson produced in e^+e^- collisions in association with a Z boson and decaying into invisible particles is performed. Data collected at LEP with the L3 detector at centre-of-mass energies from 189 GeV to 209 GeV are used, corresponding to an integrated luminosity of 0.63/fb. Events with hadrons, electrons or muons with visible masses compatible with a Z boson and missing energy and momentum are selected. They are consistent with the Standard Model expectations. A lower limit of 112.3 GeV is set at 95% confidence level on the mass of the invisibly-decaying Higgs boson in the hypothesis that its production cross section equals that of the Standard Model Higgs boson. Relaxing this hypothesis, upper limits on the production cross section are derived.
",BSM
"Search for supersymmetry with Higgs boson to diphoton decays using the razor variables at √(s) = 13 TeV. An inclusive search for anomalous Higgs boson production in the diphoton decay channel and in association with at least one jet is presented, using LHC protonâproton collision data collected by the CMS experiment at a center-of-mass energy of 13 TeV and corresponding to an integrated luminosity of 35.9fbâ1 . The razor variables MR and R2 , as well as the momentum and mass resolution of the diphoton system, are used to categorize events into different search regions. The search result is interpreted in the context of strong and electroweak production of supersymmetric particles. We exclude bottom squark pair-production with masses below 450 GeV for bottom squarks decaying to a bottom quark, a Higgs boson, and the lightest supersymmetric particle (LSP) for LSP masses below 250 GeV. For wino-like charginoâneutralino production, we exclude charginos with mass below 170 GeV for LSP masses below 25 GeV. In the GMSB scenario, we exclude charginos with mass below 205 GeV for neutralinos decaying to a Higgs boson and a goldstino LSP with 100% branching fraction.
",BSM
"Search for dark photons in VBF Higgs events in proton-proton collisions at √(s) = 13 TeV. A search is presented for a Higgs boson that is produced via vector boson fusion and that decays to an undetected particle and an isolated photon. The search is performed by the CMS Collaboration at the Large Hadron Collider, using a data set corresponding to an integrated luminosity of 130 fb^-1 recorded at a center-of-mass energy of 13 TeV. No significant excess of events above the expectation from the standard model background is found. The results are interpreted in the context of a theoretical model in which the undetected particle is a massless dark photon. An upper limit is set on the product of the cross section for vector boson fusion production and the branching fraction for such a Higgs boson decay, as a function of the Higgs boson mass. For a Higgs boson mass of 125 GeV, assuming the standard model production rates, a combination with previous searches further reduces the observed (expected) 95
",BSM
"Search for a fermiophobic Higgs boson in the diphoton decay channel with the ATLAS detector. A search for a fermiophobic Higgs boson with diphoton events produced in proton-proton collisions at a centre-of-mass energy of sqrt(s) = 7 TeV is performed using data corresponding to an integrated luminosity of 4.9 fb-1 collected by the ATLAS experiment. A specic benchmark model is considered where all the fermion couplings to the Higgs boson are set to zero and the bosonic couplings are kept at the Standard Model values. The largest excess with respect to the background-only hypothesis is found at 125.5 GeV, with a significance of 1.6 (3.0) standard deviations when taking (not taking) the look elsewhere effect into account. The data exclude this benchmark model in the ranges 110.0 - 118.0 GeV and 119.5 - 121.0 GeV at 95% confidence level. The expected exclusion limits are in the range 110.0 - 123.5 GeV at 95% confidence level.
",BSM
"Measurements of properties of the Higgs boson decaying into the four-lepton final state in pp collisions at sqrt(s) = 13 TeV. Properties of the Higgs boson are measured in the H â ZZ â 4â (â = e, Î¼) decay channel. A data sample of proton-proton collisions at √(s)=13 TeV, collected with the CMS detector at the LHC and corresponding to an integrated luminosity of 35.9 fb^â1 is used. The signal strength modifier Î¼, defined as the ratio of the observed Higgs boson rate in the H â ZZ â 4â decay channel to the standard model expectation, is measured to be Î¼â=â1.05_ââ0.17^+â0.19 at m_H = 125.09 GeV, the combined ATLAS and CMS measurement of the Higgs boson mass. The signal strength modifiers for the individual Higgs boson production modes are also measured. The cross section in the fiducial phase space defined by the requirements on lepton kinematics and event topology is measured to be 2.â92_ââ0.44^+â0.48 (stat)_ââ0.24^+â0.28 (syst)fb, which is compatible with the standard model prediction of 2.76 Â± 0.14 fb. Differential cross sections are reported as a function of the transverse momentum of the Higgs boson, the number of associated jets, and the transverse momentum of the leading associated jet. The Higgs boson mass is measured to be m_H = 125.26 Â± 0.21 GeV and the width is constrained using the on-shell invariant mass distribution to be Î_H < 1.10 GeV, at 95% confidence level.
",SM
"Search for a Higgs Boson Decaying into Two Photons in e^+ e^- Interactions at √(s)= 189 GeV. A search is performed for a Higgs boson produced in association with a Z boson and decaying into two photons, using the L3 data collected at LEP at a centre-of-mass energy of 189 GeV. All decay modes of the Z are considered. No signal is observed and limits on the branching fraction of the Higgs boson decay into two photons as a function of the Higgs mass are derived assuming a Standard Model production rate. A lower limit on the mass of a fermiophobic Higgs is set at 94.9 GeV at 95
",SM
"Coupling properties of the new Higgs-like boson observed with the ATLAS detector at the LHC. Details of the production and decay of the new particle discovered in the mass region of 126 GeV in the search for the Standard Model Higgs boson at âs = 7 TeV and âs = 8 TeV are presented. The searches in the Hâ ZZ(â)â 4l, Hâ Î³Î³, Hâ WW(â)â lÎ½lÎ½, H â Ï+Ïâ and H â bb channels include several exclusive final states, which provide sensitivity to the coupling properties of the observed particle through the various production and decay modes. Several benchmarks are considered that are designed to probe different aspects of the SM Higgs boson couplings. No significant deviation from the prediction for a SM Higgs boson is found.
",SM
"Search for neutral MSSM Higgs bosons decaying to μ^+μ^- in pp collisions at √(s) = 7 and 8 TeV. A search for neutral Higgs bosons predicted in the minimal supersymmetric standard model (MSSM) for μ^+μ^- decay channels is presented. The analysis uses data collected by the CMS experiment at the LHC in proton-proton collisions at centre-of-mass energies of 7 and 8 TeV, corresponding to integrated luminosities of 5.1 and 19.3 fb^-1, respectively. The search is sensitive to Higgs bosons produced through the gluon fusion process and in association with a bb quark pair. No statistically significant excess is observed in the μ^+μ^- mass spectrum. Results are interpreted in the framework of several benchmark scenarios, and the data are used to set an upper limit on the MSSM parameter tanβ as a function of the mass of the pseudoscalar A boson in the range from 115 to 300 GeV. Model independent upper limits are given for the product of the cross section and branching fraction for gluon fusion and b quark associated production. They are the most stringent limits obtained to date in this channel.
",BSM
"Search for the Standard Model Higgs Boson at LEP. The four LEP collaborations, ALEPH, DELPHI, L3 and OPAL, have collected a total of 2461 pb-1 of e+e- collision data at centre-of-mass energies between 189 and 209 GeV. The data are used to search for the Standard Model Higgs boson. The search results of the four collaborations are combined and examined in a likelihood test for their consistency with two hypotheses: the background hypothesis and the signal plus background hypothesis. The corresponding confidences have been computed as functions of the hypothetical Higgs boson mass. A lower bound of 114.4 GeV/c2 is established, at the 95% confidence level, on the mass of the Standard Model Higgs boson. The LEP data are also used to set upper bounds on the HZZ coupling for various assumptions concerning the decay of the Higgs boson.
",SM
"Search for top squarks in events with a Higgs or Z boson using 139 fb^-1 of pp collision data at √(s)=13 TeV with the ATLAS detector. This paper presents a search for direct top squark pair production in events with missing transverse momentum plus either a pair of jets consistent with Standard Model Higgs boson decay into b-quarks or a same-flavour opposite-sign dilepton pair with an invariant mass consistent with a Z boson. The analysis is performed using the proton-proton collision data at √(s)=13 TeV collected with the ATLAS detector during the LHC Run-2, corresponding to an integrated luminosity of 139 fb^-1. No excess is observed in the data above the Standard Model predictions. The results are interpreted in simplified models featuring direct production of pairs of either the lighter top squark (t̃_1) or the heavier top squark (t̃_2), excluding at 95% confidence level t̃_1 and t̃_2 masses up to about 1220 and 875 GeV, respectively.
",BSM
"Search for a Higgs boson decaying to four photons through light CP-odd scalar coupling using of 7 TeV pp collision data taken with ATLAS detector at the LHC. In some extensions of the Standard Model, such as MCHM or NMSSM, the Higgs boson can couple to light CP-odd scalar particles. This document presents a study of a possible contribution to a Higgs boson signal in the H→γγ channel due to H→ a a decays, where a is a light CP-odd scalar particle that decays predominantly into two photons before reaching the electromagnetic calorimeter. Although this process yields four photon final states, we show that for a in the mass range of 100-400 MeV, the two photons from each a decay are often collimated so that they may be identified as a single photon. A large fraction of these events would contribute to an effective H→γγ signal. By following a selection similar to that of the H→γγ analysis, we set experimental limits for a generic class of Standard Model extensions having Higgs boson couplings to light scalar particles, assuming the a decays before reaching the electromagnetic calorimeter. The 95
",BSM
"Higgs Boson Searches using the H â WW(â) â âÎ½âÎ½ Decay Mode with the ATLAS Detector at 7 TeV. Higgs boson searches using the H â WW(â) 5 â âÎ½âÎ½ (â = e, Î¼) decay mode have been performed with 35 pbâ1 of ATLAS data at 7 TeV proton-proton centre-of-mass energy. No evidence for a SM-like Higgs boson has been found. Rather, the SM Higgs exclusion limit as function of the Higgs mass has been presented in the mass range of 120-200 GeV. At 160 GeV, a Standard Model-like Higgs boson with a production rate of 1.2 times the Standard Model rate is excluded at 95% Confidence Level. The 95% Confidence Level upper limit on Ï Ã BR(H â WW(â)) is 54 pb at m_H = 120 GeV, 11 pb at m_H = 160 GeV and 71 pb at m_H = 200 GeV.
",BSM
"Search for the Standard Model Higgs boson in e^+ e^- interactions at √(s) = 183 GeV. A search for the Standard Model Higgs boson is performed with the L3 detector at LEP. The data sample, corresponding to a luminosity of 55.3 pb^-1, was collected at an average centre-of-mass energy of 182.7 GeV. No Higgs signal is observed, leading to a lower limit on the Higgs boson mass of 87.6 GeV at the 95% confidence level.
",SM
"Search for a very light Higgs boson in Z decays.
",BSM
"Search for a Higgs boson decaying into γ^*γ→ℓℓγ with low dilepton mass in pp collisions at √(s) = 8 TeV. A search is described for a Higgs boson decaying into two photons, one of which has an internal conversion to a muon or an electron pair (ℓℓγ). The analysis is performed using proton-proton collision data recorded with the CMS detector at the LHC at a centre-of-mass energy of 8 TeV, corresponding to an integrated luminosity of 19.7 fb^-1. The events selected have an opposite-sign muon or electron pair and a high transverse momentum photon. No excess above background has been found in the three-body invariant mass range 120 < m_ℓℓγ < 150 GeV, and limits have been derived for the Higgs boson production cross section times branching fraction for the decay H→γ^* γ→ℓℓγ, where the dilepton invariant mass is less than 20 GeV. For a Higgs boson with m_H = 125 GeV, a 95% confidence level (CL) exclusion observed (expected) limit is 7.7 (6.4^+3.1_-2.0) times the standard model prediction. Additionally, an upper limit at 95% CL on the branching fraction of H→(J/ψ)γ for the 125 GeV Higgs boson is set at 1.5×10^-3.
",BSM
"Measurement of differential fiducial cross sections for Higgs boson production in the diphoton decay channel in pp collisions at √(s)=13 TeV. A measurement of the integrated and differential fiducial production cross sections for the Higgs boson in the diphoton decay channel at √(s)=13 TeV is performed using 35.9 fb^-1 of pp collisions data collected by the CMS experiment at the CERN LHC. Differential cross sections are measured as a function of the diphoton transverse momentum and jet multiplicity. All cross sections are measured within a fiducial phase space defined by the requirements on the photons kinematics, their isolation, and the event topology. The measured cross sections are compared to state of the art theoretical predictions for the Standard Model Higgs bosons. A good agreement between observations and predictions is observed.
",SM
"Search for a heavy Higgs boson decaying into a Z boson and another heavy Higgs boson in the ℓℓ bb and ℓℓ WW final states in pp collisions at √(s)=13 TeV with the ATLAS detector. A search for a heavy neutral Higgs boson, A, decaying into a Z boson and another heavy Higgs boson, H, is performed using a data sample corresponding to an integrated luminosity of 139 fb^-1 from proton-proton collisions at √(s) = 13 TeV recorded by the ATLAS detector at the LHC. The search considers the Z boson decaying into electrons or muons and the H boson into a pair of b-quarks or W bosons. The mass range considered is 230-800 GeV for the A boson and 130-700 GeV for the H boson. The data are in good agreement with the background predicted by the Standard Model, and therefore 95 % confidence-level upper limits for σ× B(A→ ZH)× B(H→ bb or H → WW) are set. The upper limits are in the range 0.0062-0.380 pb for the H→ bb channel and in the range 0.023- 8.9 pb for the H→ WW channel. An interpretation of the results in the context of two-Higgs-doublet models is also given.
",BSM
